identifier,objcConstant,family,group,abstract,aggregation,unitFamily,valueEnum,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"mixedMetabolicCardioTraining","HKWorkoutActivityTypeMixedMetabolicCardioTraining","HKWorkoutActivityType","Deprecated activity types","The constant for performing any mix of cardio-focused exercises.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/mixedmetaboliccardiotraining"
"other","HKWorkoutActivityTypeOther","HKWorkoutActivityType","Other activities","The constant for a workout that does not match any of the other workout activity types.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/other"
"paddleSports","HKWorkoutActivityTypePaddleSports","HKWorkoutActivityType","Water activities","The constant for canoeing, kayaking, paddling an outrigger, paddling a stand-up paddle board, and related sports.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/paddlesports"
"pickleball","HKWorkoutActivityTypePickleball","HKWorkoutActivityType","Racket sports","The constant for playing pickleball.",,,,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/pickleball"
"pilates","HKWorkoutActivityTypePilates","HKWorkoutActivityType","Studio activities","The constant for a pilates workout.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/pilates"
"play","HKWorkoutActivityTypePlay","HKWorkoutActivityType","Outdoor activities","The constant for play-based activities like tag, dodgeball, hopscotch, tetherball, and playing on a jungle gym.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/play"
"preparationAndRecovery","HKWorkoutActivityTypePreparationAndRecovery","HKWorkoutActivityType","Exercise and fitness","The constant for warm-up and therapeutic activities like foam rolling and stretching.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/preparationandrecovery"
"racquetball","HKWorkoutActivityTypeRacquetball","HKWorkoutActivityType","Racket sports","The constant for playing racquetball.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/racquetball"
"rowing","HKWorkoutActivityTypeRowing","HKWorkoutActivityType","Water activities","The constant for rowing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/rowing"
"rugby","HKWorkoutActivityTypeRugby","HKWorkoutActivityType","Team sports","The constant for playing rugby.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/rugby"
"running","HKWorkoutActivityTypeRunning","HKWorkoutActivityType","Exercise and fitness","The constant for running and jogging.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/running"
"sailing","HKWorkoutActivityTypeSailing","HKWorkoutActivityType","Water activities","The constant for sailing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/sailing"
"skatingSports","HKWorkoutActivityTypeSkatingSports","HKWorkoutActivityType","Snow and ice sports","The constant for skating activities, including ice skating, speed skating, inline skating, and skateboarding.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/skatingsports"
"snowboarding","HKWorkoutActivityTypeSnowboarding","HKWorkoutActivityType","Snow and ice sports","The constant for snowboarding.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/snowboarding"
"snowSports","HKWorkoutActivityTypeSnowSports","HKWorkoutActivityType","Snow and ice sports","The constant for a variety of snow sports, including sledding, snowmobiling, or building a snowman.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/snowsports"
"soccer","HKWorkoutActivityTypeSoccer","HKWorkoutActivityType","Team sports","The constant for playing soccer.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/soccer"
"socialDance","HKWorkoutActivityTypeSocialDance","HKWorkoutActivityType","Studio activities","The constant for dancing with a partner or partners, such as swing, salsa, or folk dances.",,,,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/socialdance"
"softball","HKWorkoutActivityTypeSoftball","HKWorkoutActivityType","Team sports","The constant for playing softball.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/softball"
"squash","HKWorkoutActivityTypeSquash","HKWorkoutActivityType","Racket sports","The constant for playing squash.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/squash"
"stairClimbing","HKWorkoutActivityTypeStairClimbing","HKWorkoutActivityType","Exercise and fitness","The constant for workouts using a stair climbing machine.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stairclimbing"
"stairs","HKWorkoutActivityTypeStairs","HKWorkoutActivityType","Exercise and fitness","The constant for running, walking, or other drills using stairs (for example, in a stadium or inside a multilevel building).",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stairs"
"stepTraining","HKWorkoutActivityTypeStepTraining","HKWorkoutActivityType","Exercise and fitness","The constant for training using a step bench.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/steptraining"
"surfingSports","HKWorkoutActivityTypeSurfingSports","HKWorkoutActivityType","Water activities","The constant for a variety of surf sports, including surfing, kite surfing, and wind surfing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/surfingsports"
"swimBikeRun","HKWorkoutActivityTypeSwimBikeRun","HKWorkoutActivityType","Multisport activities","The constant for multisport activities like triathlons.",,,,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/swimbikerun"
"swimming","HKWorkoutActivityTypeSwimming","HKWorkoutActivityType","Water activities","The constant for swimming.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/swimming"
"tableTennis","HKWorkoutActivityTypeTableTennis","HKWorkoutActivityType","Racket sports","The constant for playing table tennis.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/tabletennis"
"taiChi","HKWorkoutActivityTypeTaiChi","HKWorkoutActivityType","Martial arts","The constant for tai chi.",,,,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/taichi"
"tennis","HKWorkoutActivityTypeTennis","HKWorkoutActivityType","Racket sports","The constant for playing tennis.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/tennis"
"trackAndField","HKWorkoutActivityTypeTrackAndField","HKWorkoutActivityType","Individual sports","Participating in track and field events, including shot put, javelin, pole vaulting, and related sports.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/trackandfield"
"traditionalStrengthTraining","HKWorkoutActivityTypeTraditionalStrengthTraining","HKWorkoutActivityType","Exercise and fitness","The constant for strength training exercises primarily using machines or free weights.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/traditionalstrengthtraining"
"transition","HKWorkoutActivityTypeTransition","HKWorkoutActivityType","Multisport activities","A constant for the transition time between activities in a multisport workout.",,,,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/transition"
"underwaterDiving","HKWorkoutActivityTypeUnderwaterDiving","HKWorkoutActivityType","Water activities","The constant for underwater diving.",,,,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/underwaterdiving"
"volleyball","HKWorkoutActivityTypeVolleyball","HKWorkoutActivityType","Team sports","The constant for playing volleyball.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/volleyball"
"walking","HKWorkoutActivityTypeWalking","HKWorkoutActivityType","Exercise and fitness","The constant for walking.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walking"
"waterFitness","HKWorkoutActivityTypeWaterFitness","HKWorkoutActivityType","Water activities","The constant for aerobic exercise performed in shallow water.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/waterfitness"
"waterPolo","HKWorkoutActivityTypeWaterPolo","HKWorkoutActivityType","Water activities","The constant for playing water polo.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/waterpolo"
"waterSports","HKWorkoutActivityTypeWaterSports","HKWorkoutActivityType","Water activities","The constant for a variety of water sports, including water skiing, wake boarding, and related activities.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/watersports"
"wheelchairRunPace","HKWorkoutActivityTypeWheelchairRunPace","HKWorkoutActivityType","Exercise and fitness","The constant for wheelchair workout at running pace.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/wheelchairrunpace"
"wheelchairWalkPace","HKWorkoutActivityTypeWheelchairWalkPace","HKWorkoutActivityType","Exercise and fitness","The constant for a wheelchair workout at walking pace.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/wheelchairwalkpace"
"wrestling","HKWorkoutActivityTypeWrestling","HKWorkoutActivityType","Martial arts","The constant for wrestling.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/wrestling"
"yoga","HKWorkoutActivityTypeYoga","HKWorkoutActivityType","Studio activities","The constant for practicing yoga.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/yoga"
